Stockage;Type;Quantite_Tb
oui;"Dropbox, Uncloud";1
oui;"Dropbox, UNcloud";2
oui;Dropbox;0.5
non;;
oui;iCloud;10
non;;
oui;Dropbox;3
oui;"Googledrive, iCloud, MapsMe";2
oui;Dropbox;0.4
oui;owncloud;
non;;
oui;Google Drive Univ Montpellier;1
non;;
non;;
non;;
non;;
non;;
non;;
oui;"Dropbox, Google drive, Icloud, Owncloud";0.1
oui;"Dropbox, UNcloud";0.3
non;;
oui;Google Drive;0.015
oui;Dropbox;9
oui;Google drive;2
oui;Dropbox;2
oui;"Dropbox, Google drive";2
oui;Dropbox;2
non;;
non;;
oui;"Dropbox, google drive";1
oui;NAS;20
oui;Google drive;5
non;;
non;;
non;;
non;;
non;;
non;;
oui;"Dropbox, Google Drive";1
oui;"Dropbox, Google Drive, NAS";5
non;;
non;;
non;;
non;;
oui;Google Drive;1
oui;"drop box, google drive, nas";
non;;
oui;"Dropbox, google drive";0.5
oui;google drive;0.250
non;;
oui;Google drive;
oui;Dropbox;
oui;Dropbox;2
non;;
non;;
oui;Dropbox;4
oui;Google drive;0.01
oui;Google drive;0.05
oui;"Dropbox, Google drive, NAS";2
non;;
non;;
oui;"Onedrive, google drive";1
oui;Dropbox;2
oui;"Dropbox, Google Drive,";0.361
oui;"google drive, dropbox";0.5
oui;NAS;20
non;;
non;;
oui;"dropbox, google drive";0003
non;;
oui;"Dropbox, Onedrive";0009
oui;Dropbox;0.002
oui;"DROPBOX, google drive";0.2
oui;"Dropbox, google drive";
non;;
oui;"Dropbox, Google drive";1
oui;"DropBox, Google drive";0004
non;;
oui;Google drive;0.015
oui;DropBox;0.030
non;;
non;;
non;;
oui;NAS;1
oui;"dropbox, google drive";001
oui;Dropbox;4
oui;"dropbox, google drive";0.01
oui;"Dropbox, google drive, microsoft onedrive";0.2
non;;
non;;
oui;google drive;0.001
oui;Drive;0.014
oui;"Dropbox, Google drive";0.2
oui;"dropbox, google drive, onedrive";002
oui;"Drop box, Google drive";0.5
oui;google drive;0.015
non;;
non;;
non;;
oui;Google Drive;0.1
oui;"Dropbox, Google drive";1
